id,schedule_code,effective_date,change_type,li_item_id,pbs_code,drug_id,brand_name,old_value,new_value,affected_items,significance,notes,created_at
4652,1983062564,2092-01-01,delisted,10400J_7270_1189_5417_49267,10400J,2100003000,Hyrimoz,"{""pbs_code"": ""10400J"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10400J_7270_1189_5417_49267"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4653,1983062564,2092-01-01,delisted,10400J_7270_1189_5417_50918,10400J,2100003000,Hadlima,"{""pbs_code"": ""10400J"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10400J_7270_1189_5417_50918"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4654,1983062564,2092-01-01,delisted,10400J_7270_1189_5417_51588,10400J,2100003000,Amgevita,"{""pbs_code"": ""10400J"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10400J_7270_1189_5417_51588"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4655,1983062564,2092-01-01,delisted,10400J_7270_1189_5417_54286,10400J,2100003000,Abrilada,"{""pbs_code"": ""10400J"", ""formulary"": ""F2"", ""brand_name"": ""Abrilada"", ""li_item_id"": ""10400J_7270_1189_5417_54286"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4656,1983062564,2092-01-01,delisted,10412B_10037_1189_5419_45576,10412B,2100003000,Hadlima,"{""pbs_code"": ""10412B"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10412B_10037_1189_5419_45576"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4657,1983062564,2092-01-01,delisted,10412B_10037_1189_5419_45951,10412B,2100003000,Amgevita,"{""pbs_code"": ""10412B"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10412B_10037_1189_5419_45951"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4658,1983062564,2092-01-01,delisted,10412B_10037_1189_5419_49269,10412B,2100003000,Hyrimoz,"{""pbs_code"": ""10412B"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10412B_10037_1189_5419_49269"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4659,1983062564,2092-01-01,delisted,10413C_7270_1189_5417_49267,10413C,2100003000,Hyrimoz,"{""pbs_code"": ""10413C"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10413C_7270_1189_5417_49267"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4660,1983062564,2092-01-01,delisted,10413C_7270_1189_5417_50918,10413C,2100003000,Hadlima,"{""pbs_code"": ""10413C"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10413C_7270_1189_5417_50918"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4661,1983062564,2092-01-01,delisted,10413C_7270_1189_5417_51588,10413C,2100003000,Amgevita,"{""pbs_code"": ""10413C"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10413C_7270_1189_5417_51588"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4662,1983062564,2092-01-01,delisted,10413C_7270_1189_5417_54286,10413C,2100003000,Abrilada,"{""pbs_code"": ""10413C"", ""formulary"": ""F2"", ""brand_name"": ""Abrilada"", ""li_item_id"": ""10413C_7270_1189_5417_54286"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4663,1983062564,2092-01-01,delisted,10419J_10037_1189_5419_45576,10419J,2100003000,Hadlima,"{""pbs_code"": ""10419J"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10419J_10037_1189_5419_45576"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4664,1983062564,2092-01-01,delisted,10419J_10037_1189_5419_45951,10419J,2100003000,Amgevita,"{""pbs_code"": ""10419J"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10419J_10037_1189_5419_45951"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4665,1983062564,2092-01-01,delisted,10419J_10037_1189_5419_49269,10419J,2100003000,Hyrimoz,"{""pbs_code"": ""10419J"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10419J_10037_1189_5419_49269"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
